student_id,faculty,year_of_study,gender,attendance_decline_pct,lms_inactivity_gap_days,assignment_delay_index,grade_volatility_score,current_avg_mark,true_risk_tier
KDU10000,FMSH,3,Male,29.6,12.9,0.26,6.1,55.9,moderate
KDU10001,FOC,4,Male,14.5,5.8,0.46,20.3,64.2,moderate
KDU10002,FOCJ,1,Female,0,0,0.08,4.0,78.0,low
KDU10003,FOE,1,Male,0,1.0,0,9.9,67.4,low
KDU10004,FOE,2,Male,17.5,8.4,0.64,8.8,58.3,moderate
KDU10005,FOM,3,Male,2.6,1.0,0.08,5.0,69.4,low
KDU10006,FOCJ,3,Male,53.8,13.1,0.38,33.6,36.7,high
KDU10007,FDSS,1,Male,11.3,2.9,0.04,0,78.4,low
KDU10008,FOC,2,Male,13.1,3.9,0,0.1,71.7,low
KDU10009,FOT,3,Male,4.1,4.1,0.18,6.7,56.7,low
KDU10010,FOC,2,Female,0,0,0.31,0,67.9,low
KDU10011,FOM,2,Male,5.8,3.5,0.26,6.4,91.4,low
KDU10012,FOM,3,Female,0,3.4,0.24,1.0,79.8,low
KDU10013,FMSH,1,Male,4.0,1.7,0.23,3.6,75.4,low
KDU10014,FBESS,1,Male,36.5,8.5,0.66,30.9,56.8,high
KDU10015,FOCJ,3,Female,0,0.3,0.17,5.4,77.9,low
KDU10016,FMSH,3,Male,37.4,8.9,0.53,10.8,74.3,moderate
KDU10017,FAHS,2,Male,51.2,12.2,0.49,19.0,37.5,high
KDU10018,FDSS,4,Female,36.4,3.6,0.47,14.3,63.6,moderate
KDU10019,FDSS,2,Female,0,3.0,0,0,65.1,low
KDU10020,FOL,3,Male,61.6,11.6,0.68,26.2,37.2,high
KDU10021,FOCJ,3,Male,1.3,4.4,0.0,3.0,72.6,low
KDU10022,FOL,1,Female,47.7,10.8,0.88,26.4,45.7,high
KDU10023,FOCJ,2,Male,16.4,15.6,0.06,14.3,76.1,moderate
KDU10024,FOM,3,Male,43.1,16.0,0.49,8.7,64.6,moderate
KDU10025,FDSS,3,Female,18.7,0.7,0.13,10.5,69.8,moderate
KDU10026,FOCJ,1,Female,26.3,5.0,0.27,16.5,38.3,moderate
KDU10027,FOCJ,1,Female,0,0.3,0.2,15.0,66.5,low
KDU10028,FOL,3,Female,10.3,0,0.04,0.1,74.1,low
KDU10029,FOL,1,Female,0,0,0.01,12.4,78.7,low
KDU10030,FOE,4,Female,17.1,9.1,0.25,10.8,40.4,moderate
KDU10031,FOCJ,2,Male,53.8,7.7,0.46,33.6,32.7,high
KDU10032,FBESS,4,Female,20.7,11.0,0.32,11.7,47.1,moderate
KDU10033,FOE,3,Male,5.6,6.4,0.04,3.2,62.6,low
KDU10034,FOCJ,4,Male,8.2,1.6,0.07,10.8,54.3,low
KDU10035,FOC,2,Female,41.6,15.9,0.53,19.7,73.0,moderate
KDU10036,FOCJ,2,Female,0,6.6,0.01,17.6,57.0,low
KDU10037,FMSH,3,Male,21.0,5.2,0.12,12.4,58.7,moderate
KDU10038,FAHS,2,Female,17.7,1.1,0.54,11.6,59.6,moderate
KDU10039,FOCJ,4,Male,21.2,11.6,0.3,11.7,55.3,moderate
KDU10040,FOT,4,Female,26.1,9.0,0.4,21.8,53.0,moderate
KDU10041,FDSS,4,Female,17.2,0.2,0.13,6.5,67.4,low
KDU10042,FOCJ,3,Male,1.2,3.7,0,0.5,61.8,low
KDU10043,FOCJ,4,Male,4.0,2.4,0,0,64.8,low
KDU10044,FOC,3,Female,8.5,3.3,0.02,4.2,71.0,low
KDU10045,FBESS,3,Female,0.6,3.8,0.2,5.0,74.0,low
KDU10046,FOL,4,Male,9.4,1.2,0.08,4.0,76.0,low
KDU10047,FMSH,2,Male,17.0,7.8,0,13.7,50.9,moderate
KDU10048,FBESS,3,Female,7.0,3.5,0.0,7.6,75.1,low
KDU10049,FBESS,4,Female,18.7,4.5,0.14,3.1,87.9,low
KDU10050,FOM,4,Male,14.2,6.3,0.54,16.1,51.3,moderate
KDU10051,FOCJ,3,Female,13.0,2.9,0.42,22.0,71.4,moderate
KDU10052,FMSH,3,Male,1.6,7.8,0,7.5,82.0,low
KDU10053,FOE,2,Female,0,0.5,0.14,6.0,75.6,low
KDU10054,FOC,1,Female,10.4,5.6,0.22,26.3,66.7,moderate
KDU10055,FAHS,2,Male,5.5,2.4,0.08,8.7,67.8,low
KDU10056,FDSS,3,Female,52.0,7.4,0.5,37.7,48.8,high
KDU10057,FOC,3,Male,0,0.6,0.19,0,70.0,low
KDU10058,FBESS,3,Male,3.5,2.8,0,10.5,52.3,low
KDU10059,FOL,4,Male,40.6,13.0,0.6,14.5,57.2,moderate
KDU10060,FOL,1,Female,27.9,5.6,0.2,7.1,70.1,moderate
KDU10061,FOC,1,Male,7.6,6.9,0.37,4.9,58.0,low
KDU10062,FDSS,1,Male,4.6,4.5,0.01,5.2,77.6,low
KDU10063,FBESS,2,Male,32.6,6.2,0.22,13.9,53.3,moderate
KDU10064,FAHS,3,Female,24.1,9.3,0,18.5,75.4,low
KDU10065,FMSH,4,Female,7.1,2.3,0.13,0,69.9,low
KDU10066,FMSH,3,Female,27.7,8.8,0.45,24.6,73.1,moderate
KDU10067,FOC,3,Male,4.6,3.0,0.07,12.4,86.9,low
KDU10068,FOCJ,3,Male,36.6,5.7,0.22,3.2,49.5,moderate
KDU10069,FOM,4,Male,25.0,6.1,0,10.0,66.0,low
KDU10070,FOM,2,Female,0,4.2,0.14,1.2,80.5,low
KDU10071,FMSH,3,Male,50.9,3.8,0.73,34.0,42.8,high
KDU10072,FOE,4,Male,3.0,0,0.16,8.3,85.9,low
KDU10073,FOM,3,Male,24.9,5.0,0,4.1,67.9,low
KDU10074,FOT,2,Female,9.8,2.6,0.1,8.5,63.8,low
KDU10075,FOC,3,Female,2.5,0.9,0.1,9.8,62.5,low
KDU10076,FOL,1,Male,11.5,4.0,0,5.8,83.4,low
KDU10077,FOC,2,Female,34.9,4.2,0.4,6.8,63.9,moderate
KDU10078,FBESS,1,Male,8.8,0,0.15,5.1,69.8,low
KDU10079,FOCJ,1,Female,23.6,4.0,0.22,18.0,68.9,moderate
KDU10080,FAHS,2,Female,33.3,0,0.57,5.5,57.4,moderate
KDU10081,FOT,3,Male,5.6,2.0,0,8.5,78.0,low
KDU10082,FOL,3,Female,7.1,0,0,0.4,70.2,low
